Time[sec],MeasuredForce[N]
0.0,3.46731549952
0.008055,0.428325270417
0.016076,3.31142794824
0.024095,-1.67533965105
0.032085,1.67509887231
0.039674,-1.24689399126
0.048276,-0.000120389368726
0.056339,-1.24689399126
0.064442,-0.428566049155
0.072389,1.67509887231
0.080511,1.67509887231
0.088224,1.67509887231
0.096416,-1.12989662574
0.104612,-0.428566049155
0.111922,3.31142794824
0.120642,2.49310000614
0.12867,3.73987360803
0.136693,-4.98688798866
0.144713,2.92187247421
0.152733,1.24665321253
0.159752,-0.000120389368726
0.168735,0.817880744456
0.175867,-1.67533965105
0.184533,3.73987360803
0.192873,0.817880744456
0.200459,0.817880744456
0.208534,3.73987360803
0.21661,-0.428566049155
0.223914,1.67509887231
0.232488,-1.67533965105
0.240016,3.73987360803
0.248035,2.64898755741
0.256014,1.67509887231
0.26404,-0.000120389368726
0.27229,2.06465434635
0.279785,3.73987360803
0.288613,0.817880744456
0.29665,0.623103007437
0.303648,-0.818121523193
0.311908,0.817880744456
0.320737,-2.22078267636
0.32776,4.16831926782
0.335782,1.24665321253
0.343806,2.49310000614
0.352129,-2.06489512509
0.359698,2.92187247421
0.368531,2.49310000614
0.376049,-0.000120389368726
0.384301,-0.000120389368726
0.392225,3.73987360803
0.400142,3.54509587101
0.407868,2.06465434635
0.416471,0.428325270417
0.424444,-0.818121523193
0.432473,3.31142794824
0.440493,2.92187247421
0.447512,0.817880744456
0.456544,4.32420681909
0.463983,2.92187247421
0.472409,-0.818121523193
0.480689,2.49310000614
0.488114,1.67509887231
0.49621,0.428325270417
0.504506,1.67509887231
0.511821,2.33753926315
0.519864,-2.49334078487
0.528358,-0.000120389368726
0.536374,1.24665321253
0.544332,-2.49334078487
0.552155,1.67509887231
0.559996,0.428325270417
0.56838,2.49310000614
0.576409,-0.194898126388
0.584209,2.06465434635
0.59245,3.31142794824
0.600501,-0.818121523193
0.609012,3.31142794824
0.616863,-0.428566049155
0.6249,-0.000120389368726
0.631797,4.94775702418
0.639822,0.155767161903
0.648112,-0.428566049155
0.656401,0.428325270417
0.664421,2.92187247421
0.672442,2.06465434635
0.680467,-0.818121523193
0.688332,2.92187247421
0.6964,0.817880744456
0.704155,-0.000120389368726
0.712376,-3.74011438677
0.719529,1.86987660933
0.728088,3.31142794824
0.736377,0.817880744456
0.744374,4.16831926782
0.752426,-0.428566049155
0.760044,1.67509887231
0.768463,1.24665321253
0.776485,0.662320001467
0.78378,-0.428566049155
0.792628,3.73987360803
0.800156,2.49310000614
0.808093,-1.12989662574
0.816065,2.06465434635
0.823705,2.06465434635
0.832282,2.49310000614
0.840688,-1.24689399126
0.848049,0.817880744456
0.856084,2.53231700017
0.863623,2.49310000614
0.872402,7.86942307947
0.880421,-2.49334078487
0.887663,0.428325270417
0.896013,2.06465434635
0.903997,4.98664720992
0.912018,-0.818121523193
0.919979,3.73987360803
0.927807,2.49310000614
0.936093,2.96076265995
0.944097,4.98664720992
0.952078,1.24665321253
0.960119,5.41509286971
0.968125,-2.92211325294
0.976134,2.06465434635
0.984385,0.428325270417
0.992166,0.428325270417
1.000373,1.24665321253
1.008698,1.67509887231
1.016008,3.73987360803
1.023657,-0.428566049155
1.03225,-1.24689399126
1.040649,0.817880744456
1.048263,1.67509887231
1.056262,0.817880744456
1.064409,0.428325270417
1.071944,-0.428566049155
1.080239,3.31142794824
1.088294,2.49310000614
1.096462,0.428325270417
1.103889,3.73987360803
1.112036,2.49310000614
1.120161,2.92187247421
1.128252,-0.818121523193
1.136272,4.55787474185
1.144269,-1.24689399126
1.152354,1.67509887231
1.160047,0.428325270417
1.16813,0.428325270417
1.176599,4.16831926782
1.184489,1.67509887231
1.191785,4.16831926782
1.199811,1.24665321253
1.208134,-0.000120389368726
1.216019,2.49310000614
1.224366,1.24665321253
1.232342,-1.24689399126
1.240272,-0.818121523193
1.248631,-2.06489512509
1.256282,0.584212821689
1.264001,0.428325270417
1.27182,0.428325270417
1.279837,1.86987660933
1.287859,2.68787774316
